mode;alpha;beta;evaporation;group_size;elite_weight;best_value;best_iteration
AC;0.5;1.0;0.1;10;1.0;5425;195
AC;0.5;1.0;0.1;10;1.0;5424;146
AC;0.5;1.0;0.1;10;1.0;5372;23
AC;0.5;1.0;0.1;40;1.0;5488;182
AC;0.5;1.0;0.1;40;1.0;5437;26
AC;0.5;1.0;0.1;40;1.0;5426;117
AC;0.5;1.0;0.1;80;1.0;5462;39
AC;0.5;1.0;0.1;80;1.0;5469;120
AC;0.5;1.0;0.1;80;1.0;5470;83
AC;0.5;1.0;0.4;10;1.0;5408;14
AC;0.5;1.0;0.4;10;1.0;5428;147
AC;0.5;1.0;0.4;10;1.0;5500;191
AC;0.5;1.0;0.4;40;1.0;5458;32
AC;0.5;1.0;0.4;40;1.0;5453;109
AC;0.5;1.0;0.4;40;1.0;5511;132
AC;0.5;1.0;0.4;80;1.0;5441;165
AC;0.5;1.0;0.4;80;1.0;5433;57
AC;0.5;1.0;0.4;80;1.0;5468;111
AC;0.5;1.0;0.8;10;1.0;5404;89
AC;0.5;1.0;0.8;10;1.0;5342;92
AC;0.5;1.0;0.8;10;1.0;5435;140
AC;0.5;1.0;0.8;40;1.0;5450;110
AC;0.5;1.0;0.8;40;1.0;5443;195
AC;0.5;1.0;0.8;40;1.0;5512;150
AC;0.5;1.0;0.8;80;1.0;5469;142
AC;0.5;1.0;0.8;80;1.0;5458;182
AC;0.5;1.0;0.8;80;1.0;5518;185
AC;0.5;3.0;0.1;10;1.0;5514;19
AC;0.5;3.0;0.1;10;1.0;5502;96
AC;0.5;3.0;0.1;10;1.0;5488;85
AC;0.5;3.0;0.1;40;1.0;5513;76
AC;0.5;3.0;0.1;40;1.0;5493;200
AC;0.5;3.0;0.1;40;1.0;5525;77
AC;0.5;3.0;0.1;80;1.0;5539;91
AC;0.5;3.0;0.1;80;1.0;5510;126
AC;0.5;3.0;0.1;80;1.0;5513;195
AC;0.5;3.0;0.4;10;1.0;5486;163
AC;0.5;3.0;0.4;10;1.0;5513;85
AC;0.5;3.0;0.4;10;1.0;5526;107
AC;0.5;3.0;0.4;40;1.0;5525;68
AC;0.5;3.0;0.4;40;1.0;5523;148
AC;0.5;3.0;0.4;40;1.0;5538;194
AC;0.5;3.0;0.4;80;1.0;5515;59
AC;0.5;3.0;0.4;80;1.0;5514;72
AC;0.5;3.0;0.4;80;1.0;5504;181
AC;0.5;3.0;0.8;10;1.0;5547;101
AC;0.5;3.0;0.8;10;1.0;5518;193
AC;0.5;3.0;0.8;10;1.0;5562;57
AC;0.5;3.0;0.8;40;1.0;5543;189
AC;0.5;3.0;0.8;40;1.0;5585;134
AC;0.5;3.0;0.8;40;1.0;5560;99
AC;0.5;3.0;0.8;80;1.0;5542;173
AC;0.5;3.0;0.8;80;1.0;5526;163
AC;0.5;3.0;0.8;80;1.0;5557;121
AC;0.5;5.0;0.1;10;1.0;5538;45
AC;0.5;5.0;0.1;10;1.0;5531;104
AC;0.5;5.0;0.1;10;1.0;5565;156
AC;0.5;5.0;0.1;40;1.0;5551;9
AC;0.5;5.0;0.1;40;1.0;5540;199
AC;0.5;5.0;0.1;40;1.0;5519;122
AC;0.5;5.0;0.1;80;1.0;5578;38
AC;0.5;5.0;0.1;80;1.0;5562;44
AC;0.5;5.0;0.1;80;1.0;5559;136
AC;0.5;5.0;0.4;10;1.0;5513;186
AC;0.5;5.0;0.4;10;1.0;5522;181
AC;0.5;5.0;0.4;10;1.0;5498;12
AC;0.5;5.0;0.4;40;1.0;5549;165
AC;0.5;5.0;0.4;40;1.0;5572;70
AC;0.5;5.0;0.4;40;1.0;5604;61
AC;0.5;5.0;0.4;80;1.0;5550;185
AC;0.5;5.0;0.4;80;1.0;5533;197
AC;0.5;5.0;0.4;80;1.0;5550;25
AC;0.5;5.0;0.8;10;1.0;5508;159
AC;0.5;5.0;0.8;10;1.0;5546;17
AC;0.5;5.0;0.8;10;1.0;5561;114
AC;0.5;5.0;0.8;40;1.0;5605;117
AC;0.5;5.0;0.8;40;1.0;5599;166
AC;0.5;5.0;0.8;40;1.0;5587;40
AC;0.5;5.0;0.8;80;1.0;5574;166
AC;0.5;5.0;0.8;80;1.0;5586;49
AC;0.5;5.0;0.8;80;1.0;5588;47
AC;1.0;1.0;0.1;10;1.0;5427;13
AC;1.0;1.0;0.1;10;1.0;5376;73
AC;1.0;1.0;0.1;10;1.0;5474;147
AC;1.0;1.0;0.1;40;1.0;5544;169
AC;1.0;1.0;0.1;40;1.0;5476;140
